threads,repeat,histogram,bin,bin_label,content,exact_error,approx_error,rowwise_error,error_difference,relative_difference_pct,rowwise_relative_difference_pct
2,2,nGenJet,6,overflow,23237.0,152.43687217992897,152.43525239536788,50.812290726611565,-0.001619784561086135,-0.001062593674305834,-66.66666666668728
2,2,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
2,2,selected_nMuon,1,0.0,1697.5555555555043,30.68477726097375,30.68477726097375,13.733800783126522,0.0,0.0,-55.242299247210845
2,2,selected_nMuon,2,1.0,10569.111111111892,83.37969080961346,83.37969080961346,34.26872742039077,0.0,0.0,-58.900390385664906
2,2,selected_nMuon,3,2.0,34096.11111110994,171.9736916428956,171.9714661947934,61.55044102291028,-0.002225448102194605,-0.0012940631098468103,-64.2093854967537
2,2,selected_nMuon,4,3.0,4233.111111110952,34.52928619213476,34.528928648023886,21.687454415225446,-0.0003575441108765176,-0.0010354807478130112,-37.1911301770104
2,2,selected_nMuon,5,4.0,352.5555555555625,7.781745019952452,7.781745019952452,6.258820935781063,0.0,0.0,-19.57047012291716
2,2,selected_nMuon,6,overflow,23.4444444444444,1.9404721329525554,1.9404721329525554,1.61398211625933,0.0,0.0,-16.825287575578297
4,1,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
4,1,nMuon,1,0.0,10149.666666666659,99.12562175789297,99.12375355341672,33.581851359643075,-0.0018682044762527994,-0.0018846837408159622,-66.1219261336244
4,1,nMuon,2,1.0,27232.333333332277,158.3032330062983,158.30229715310537,55.00740690867682,-0.0009358531929422043,-0.0005911775616818105,-65.2518739737373
4,1,nMuon,3,2.0,36635.55555555434,177.91224081579412,177.91002025923197,63.80138935754111,-0.0022205565621504775,-0.001248119045638152,-64.1388422376179
4,1,nMuon,4,3.0,4460.555555555185,35.62787783481362,35.62753131574485,22.262463564272483,-0.0003465190687705899,-0.0009726065368753645,-37.51392191392657
4,1,nMuon,5,4.0,362.7777777777829,7.909207011803057,7.909207011803057,6.348908723182922,0.0,0.0,-19.727619801728192
4,1,nMuon,6,overflow,24.111111111111093,1.9594657876164898,1.9594657876164898,1.6367688736284716,0.0,0.0,-16.468616907088208
4,1,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
4,1,nGenJet,1,0.0,407.0,20.174241001832016,20.174241001832016,6.7247470006106145,0.0,0.0,-66.66666666666696
4,1,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.62167810425155,0.0,0.0,-66.66666666666727
4,1,nGenJet,3,2.0,21490.0,146.59467930317254,146.5918159169439,48.86489310107208,-0.002863386228654008,-0.0019532675007427613,-66.66666666665672
